Country,Year,FDI,Imports,Exports,Aid,ME,PI
Bolivia,2009,423040000.0,32.90444909,35.72262483,10.09018138,1.76,0
Brazil,2009,31480931700.0,11.25460447,10.85137113,0.169773564,1.54,0
Botswana,2009,208699298.2,52.64712677,35.83366186,4.72508362,3.26,0
Central African Republic,2009,42280000.0,21.65259659,9.841649902,,1.75,0
Canada,2009,20951090410.0,29.95855751,28.51583432,,1.38,0
Switzerland,2009,47658570355.0,51.76631556,58.00966904,,0.73,0
Chile,2009,13855126065.0,29.57039617,37.1156348,0.114843416,2.28,0
China,2009,131057000000.0,20.43501444,24.74985594,0.098453641,1.89,2125
Cameroon,2009,746276649.0,22.59369207,19.58241528,9.371898199,1.23,0
Colombia,2009,8034746177.0,18.73163282,16.42449569,2.113396845,3.89,0
Costa Rica,2009,1614614468.0,35.1270127,34.63230503,0.940549519,,0
Cuba,2009,,15.45425258,17.45972938,,3.38,0
Cyprus,2009,64632059145.0,54.0687199,48.72214083,,1.82,0
Germany,2009,56701916795.0,33.10880596,38.11990694,,1.31,0
Djibouti,2009,96859684.56,,,27.9374295,,0
Denmark,2009,3771059440.0,42.62896583,47.12607346,,1.35,0
Dominican Republic,2009,1695300000.0,29.5813545,21.0309281,0.998341257,0.67,0
Algeria,2009,2746930734.0,35.95267869,35.37165186,0.548968831,3.85,1250
Ecuador,2009,308629890.1,26.85574109,25.24910794,1.217898827,3.12,0
Eritrea,2009,91000000.0,23.44351776,4.528623859,,,0
Spain,2009,9549813317.0,23.93318015,23.06169417,,1.36,0
Estonia,2009,1866296947.0,55.90037147,60.8643762,,1.8,0
Ethiopia,2009,221459581.4,,,42.08342986,1.2,3375
Finland,2009,-8825823234.0,34.04237759,36.08092568,,1.56,0
Fiji,2009,308373711.0,59.43270569,49.43641173,3.723799446,1.79,0
France,2009,18422928062.0,25.62690364,24.83554721,,2.1,625
Gabon,2009,635674956.8,31.33284524,52.17173218,1.366640863,,0
United Kingdom,2009,14547108445.0,28.122833,26.88155103,,2.65,562
Georgia,2009,660800885.3,48.64783721,29.54520182,13.73601915,5.61,1000
Ghana,2009,2372540000.0,42.30287255,29.29186598,13.53296295,0.34,0
Guinea,2009,91030000.0,47.29956289,22.51579108,13.76540774,,1062
Guinea-Bissau,2009,18890200.0,35.22253799,18.84933774,48.35692776,1.55,5500
Equatorial Guinea,2009,1636219625.0,47.86986717,74.34220994,,2.47,3375
Greece,2009,2766296835.0,28.76165978,18.98218682,,3.22,937
Guatemala,2009,499821250.0,33.67286049,24.36782648,2.844527678,0.4,812
Guyana,2009,164000000.0,,,7.37354287,0.98,0
Honduras,2009,494497450.5,57.3747552,39.53025082,5.568924626,1.07,2375
Croatia,2009,3069599256.0,37.73953861,32.21965658,0.614628777,1.79,0
Haiti,2009,55470000.0,24.18038401,8.916115818,35.10165444,,312
Hungary,2009,-2792080129.0,70.77564397,74.22425347,,1.13,0
Indonesia,2009,4877369178.0,21.3530017,24.15911967,0.744841314,0.57,0
India,2009,35581372930.0,25.87235027,20.40051937,0.702834587,3.13,2750
Ireland,2009,53974309647.0,80.03532545,93.55616889,,0.6,125
Iraq,2009,1598300000.0,39.28726856,39.40011026,6.320004484,2.9,3375
Iceland,2009,63588140.75,40.67493813,48.71980508,,,0
Israel,2009,4606900000.0,30.05579433,32.54196822,,6.15,500
Italy,2009,16607196345.0,23.01960005,22.39916173,,1.55,562
Jamaica,2009,485164640.1,52.40552812,34.47959621,2.097759173,0.95,0
Jordan,2009,2413098592.0,67.07652648,45.07547171,4.344193467,6.39,0
Japan,2009,12226471579.0,11.97060079,12.41956575,,0.97,250
Kazakhstan,2009,14275888207.0,33.92764502,41.83842245,0.540104715,1.1,0
Kenya,2009,116257609.0,27.17024632,18.77494549,15.48097185,1.37,437
Cambodia,2009,928393617.3,55.91771187,49.2207635,10.0773645,1.31,0
Kuwait,2009,1113588047.0,29.37743063,59.43363435,,3.97,250
Lebanon,2009,4803602660.0,57.20213716,33.1957017,1.829596816,4.02,250
Liberia,2009,127803424.5,,,27.60741557,0.65,0
Libya,2009,1371000000.0,44.38403896,63.23689154,0.138315552,,0
Sri Lanka,2009,404000000.0,27.82077529,21.32836624,4.92360633,3.16,2187
Lesotho,2009,91349553.1,114.1314086,44.76332898,5.717596513,2.72,312
Lithuania,2009,-360197700.8,53.54947752,51.78930078,,1.08,625
Luxembourg,2009,27255154249.0,115.6076185,147.925083,,0.37,0
Latvia,2009,-150022148.4,44.19841823,42.21403486,,1.38,812
Morocco,2009,1970323920.0,36.65377848,25.71717754,2.800708838,3.29,0
Moldova,2009,263960000.0,73.49120433,36.87212252,6.180874415,0.46,687
Madagascar,2009,1293330142.0,42.03586776,20.37582984,10.62286888,0.74,2812
Mexico,2009,19651586900.0,28.07847241,26.51326972,0.065214637,0.5,312
Mali,2009,649211715.2,28.80587924,21.71331369,29.26749648,1.42,0
Malta,2009,1444871046.0,147.9280939,147.022003,,0.68,0
Montenegro,2009,1550285725.0,65.0941619,34.33086631,2.605715429,1.84,0
Mongolia,2009,623609218.2,57.53575784,50.27799933,10.76267131,0.63,0
Mozambique,2009,930100407.8,,,41.10740552,0.71,0
Mauritania,2009,-3072044.396,44.7628693,37.2457483,,3.14,0
Mauritius,2009,256680711.8,56.75256036,47.67716859,2.829828319,0.17,0
Malawi,2009,49130371.23,,,32.78387735,0.95,0
Malaysia,2009,114664434.6,71.14217859,91.41679187,0.087351255,1.87,375
Namibia,2009,829054473.4,72.19966948,51.56317481,6.128523678,3.37,0
Niger,2009,633819197.1,34.53440608,14.97785062,17.64428902,0.74,125
Nigeria,2009,8555990007.0,,,2.528758965,0.51,2937
Nicaragua,2009,433900000.0,53.01139864,33.98146832,14.18038746,0.5,0
Netherlands,2009,95851297436.0,54.65253616,62.23701352,,1.4,0
