Year,Country,Gov,BC,PI,RPE,PR,CL,Urban,Fertility
2000,Jordan,-2.0,5.4,62.4,1.4006,4.0,4.0,78.2324,4.3424
2005,Jordan,-2.0,5.4,0.0,1.3264,5.0,5.0,78.29560000000001,3.849
2010,Jordan,-2.6,9.0,613.3333333333334,1.432,5.2,5.2,82.2892,3.8324
2000,Kazakhstan,-6.0,4.0,687.4,1.0458,6.0,6.0,55.9678,1.998
2005,Kazakhstan,-6.0,4.0,262.4,0.9808,6.0,6.0,56.24400000000001,1.988
2010,Kazakhstan,-6.0,2.2,2.6666666666666665,1.0618,6.0,6.0,56.609,2.4560000000000004
2000,Kenya,0.4,16.0,87.4,1.155,6.4,6.4,18.9024,5.271800000000001
2005,Kenya,6.4,14.4,974.8,1.1663999999999999,4.4,4.4,20.596,4.9962
2010,Kenya,7.4,11.4,270.6666666666667,1.1663999999999999,3.6,3.6,22.4246,4.6822
2005,Kosovo,8.0,8.333333333333334,1937.5,1.1423333333333332,4.0,4.0,23.971999999999998,4.224666666666667
2010,Kosovo,8.0,0.0,104.0,1.373,5.0,5.0,,2.4405
2000,Kuwait,-7.0,3.4,0.0,1.283,4.8,4.8,98.503,2.9490000000000003
2005,Kuwait,-7.0,3.4,50.0,1.4902,4.0,4.0,99.7816,2.7044
2010,Kuwait,-7.0,6.6,612.0,1.2892,4.0,4.0,100.0,2.5086
2000,Latvia,8.0,2.4,50.0,1.1232,1.4,1.4,68.5342,1.154
2005,Latvia,8.0,4.0,237.4,1.0162,1.0,1.0,67.9134,1.268
2010,Latvia,8.0,2.2,0.0,0.9795999999999999,1.6,1.6,67.90299999999999,1.486
2000,Lebanon,-66.0,2.0,187.4,0.961,6.0,6.0,85.4152,2.6652
2005,Lebanon,-66.0,2.0,1774.8,1.0214,6.0,6.0,86.24359999999999,2.3972
2010,Lebanon,6.0,2.4,2293.3333333333335,1.0438,5.0,5.0,86.9038,2.1271999999999998
2000,Lesotho,5.4,1.2,0.0,,4.0,4.0,18.0302,3.9595999999999996
2005,Lesotho,7.2,0.0,62.4,,2.8,2.8,20.607599999999998,3.6292
2010,Lesotho,8.0,0.0,0.0,,2.2,2.2,23.292399999999997,3.407
2000,Liberia,-33.0,3.0,1312.4,0.3866,5.2,5.2,43.9724,6.0702
2005,Liberia,-35.2,3.6,199.8,0.5252,5.6,5.6,45.0176,5.671
2010,Liberia,-12.8,0.4,1.0,0.7824,3.2,3.2,46.7444,5.4026000000000005
2000,Libya,-7.0,11.6,0.0,0.8732,7.0,7.0,76.12660000000001,3.2838000000000003
2005,Libya,-7.0,9.6,0.0,1.1522000000000001,7.0,7.0,76.64099999999999,2.8796
2010,Libya,-7.0,7.6,2731.0,1.465,7.0,7.0,77.4478,2.6534
2000,Lithuania,10.0,2.4,0.0,1.1221999999999999,1.0,1.0,67.1656,1.486
2005,Lithuania,10.0,4.0,125.0,1.0452,1.2,1.2,66.8232,1.2879999999999998
2010,Lithuania,10.0,2.2,0.0,1.0188,1.0,1.0,66.7616,1.386
2000,Luxembourg,10.0,0.0,0.0,0.8868,1.0,1.0,82.96759999999999,1.72
2005,Luxembourg,10.0,0.0,0.0,0.829,1.0,1.0,85.2556,1.666
2010,Luxembourg,10.0,0.0,0.0,0.7708,1.0,1.0,87.39880000000001,1.6179999999999999
2000,Madagascar,8.2,0.0,187.4,0.7632,2.0,2.0,26.3228,5.771800000000001
2005,Madagascar,7.0,0.0,562.4,0.766,2.6,2.6,27.6644,5.2512
2010,Madagascar,5.6,0.0,1437.3333333333333,0.8046,4.2,4.2,30.050599999999996,4.9902
2000,Malawi,6.0,0.0,0.0,0.5512,2.2,2.2,13.959999999999999,6.275
2005,Malawi,5.0,0.0,0.0,0.665,3.6,3.6,14.786599999999998,5.9722
2010,Malawi,6.0,0.0,2.0,0.8657999999999999,3.8,3.8,15.2376,5.7090000000000005
2000,Malaysia,3.2,1.6,87.4,0.8756,4.4,4.4,58.2264,3.1944000000000004
2005,Malaysia,3.0,2.2,100.0,0.6990000000000001,4.8,4.8,63.8458,2.6428000000000003
2010,Malaysia,4.2,1.2,191.0,0.6237999999999999,4.0,4.0,68.3474,2.2567999999999997
2000,Mali,4.6,5.6,0.0,0.8058,2.6,2.6,26.504399999999997,6.9248
2005,Mali,5.0,6.4,0.0,0.9056000000000001,2.0,2.0,29.8168,6.814
2010,Mali,7.0,0.4,2750.0,0.9494,2.0,2.0,33.6214,6.6624
2000,Mauritania,-6.0,5.2,750.0,0.7548,6.0,6.0,38.4594,5.667199999999999
2005,Mauritania,-6.0,4.0,750.0,0.8482,5.6,5.6,39.553399999999996,5.3094
2010,Mauritania,-2.2,0.0,0.3333333333333333,0.7752,5.4,5.4,43.8946,5.1532
2000,Mauritius,10.0,0.0,0.0,1.181,1.0,1.0,43.0384,2.064
2005,Mauritius,10.0,0.0,0.0,1.1236000000000002,1.0,1.0,42.4468,1.9259999999999997
2010,Mauritius,10.0,0.0,0.0,1.1574,1.0,1.0,41.8888,1.73
2000,Mexico,5.2,2.0,2462.4,0.5028,3.4,3.4,73.9188,2.8858
